pmid,pmcid,title,platform_mentioned,cga_strong,cga_general,cga_example,assembly_strong,assembly_general,assembly_example,annotation_strong,annotation_general,annotation_example,sgf_strong,sgf_general,sgf_example,proteome_cmp_strong,proteome_cmp_general,proteome_cmp_example,variation_strong,variation_general,variation_example,metagenomics_strong,metagenomics_general,metagenomics_example,rnaseq_strong,rnaseq_general,rnaseq_example,phylo_strong,phylo_general,phylo_example,crispr_strong,crispr_general,crispr_example,subsystems_strong,subsystems_general,subsystems_example,specialty_genes_strong,specialty_genes_general,specialty_genes_example,amr_strong,amr_general,amr_example,taxclass_strong,taxclass_general,taxclass_example,docking_strong,docking_general,docking_example,pfs_strong,pfs_general,pfs_example,pathway_strong,pathway_general,pathway_example,p3tools_strong,p3tools_general,p3tools_example,blast_strong,blast_general,blast_example,primer_design_strong,primer_design_general,primer_design_example,genome_alignment_strong,genome_alignment_general,genome_alignment_example,tnseq_strong,tnseq_general,tnseq_example,bact_genome_tree_strong,bact_genome_tree_general,bact_genome_tree_example,viral_genome_tree_strong,viral_genome_tree_general,viral_genome_tree_example,cgmlst_strong,cgmlst_general,cgmlst_example,wg_snp_strong,wg_snp_general,wg_snp_example,msa_snp_strong,msa_snp_general,msa_snp_example,metacats_strong,metacats_general,metacats_example,protein_structure_strong,protein_structure_general,protein_structure_example,protein_stability_strong,protein_stability_general,protein_stability_example,comparative_systems_strong,comparative_systems_general,comparative_systems_example,mobile_element_strong,mobile_element_general,mobile_element_example,expression_import_strong,expression_import_general,expression_import_example,fastq_utils_strong,fastq_utils_general,fastq_utils_example,id_mapper_strong,id_mapper_general,id_mapper_example,sarscov2_genome_strong,sarscov2_genome_general,sarscov2_genome_example,sarscov2_wastewater_strong,sarscov2_wastewater_general,sarscov2_wastewater_example,flu_submission_strong,flu_submission_general,flu_submission_example,flu_ha_subtype_strong,flu_ha_subtype_general,flu_ha_subtype_example,flu_reassortment_strong,flu_reassortment_general,flu_reassortment_example,subspecies_strong,subspecies_general,subspecies_example,viral_assembly_strong,viral_assembly_general,viral_assembly_example,outbreak_tracker_strong,outbreak_tracker_general,outbreak_tracker_example
42200046,PMC13199646,"Dataset of genomic sequences and annotation of Bacillus cereus Spbamp1 isolated from metal-impacted soil in Querétaro, México",True,0,0,,0,1,"The complete genome was sequenced using the Illumina Novaseq platform and 51 contigs were assembled using the BV-BRC platform, with a total of 5547,101 base pairs, GC content of 34.91%, and 5712 predicted protein-coding sequences.",1,1,"Subject Biological sciences Specific subject area Microbiology, Genomics, Bioinformatics Data format Raw, Filtered and analyzed Type of data Complete genome sequence in FASTA formatFigure(s)Table(s) Data collection Bacillus cereus Spbamp1 was isolated from soil contaminated by leachate with high con",0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,"Table 2 dummy alt text Genome features Plasmid 1 Plasmid 2 Plasmid 3 Genome size 139,440 bp 54,700 bp 12,086 bp GC contents 32.91% 35.96% 34.29% Total genes 119 89 18 CDSs 117 89 18 tRNA 2 0 0 Specialty genes 0 0 0 Genomic sequences producing significant alignments against plasmid sequences of Bacil",0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
42197481,PMC13209999,Whole-Genome Sequencing and Genomic Characterization of a Multi-Drug Resistant Phenotype of Listeria monocytogenes Isolated from Pet Food,True,0,0,,1,1,"Bioinformatic Analysis Assembly and annotation of the genome were carried out on the Bacterial and Viral Bioinformatics Resource Center (BV-BRC) platform with the Genome Assembly Service, and the proposed pipeline, i.e., Flye as long-read assembler and correction (polishing) of the assembly errors w",1,1,"Bioinformatic Analysis Assembly and annotation of the genome were carried out on the Bacterial and Viral Bioinformatics Resource Center (BV-BRC) platform with the Genome Assembly Service, and the proposed pipeline, i.e., Flye as long-read assembler and correction (polishing) of the assembly errors w",0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,"Pathosystems Resource Integration Center (PATRIC) annotation indicated that 2896 proteins belonged to genus-specific protein families (PLFams), and 2918 proteins were assigned to cross-genus protein families (PGFams).",0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,1,"Whole-genome sequencing was therefore used to determine the serogroup, multilocus sequence typing (MLST) and/or core genome MLST (cgMLST) profile, resistance-associated loci, virulence-associated genes, prophage content, putative CRISPR-Cas elements, plasmid status, and comparative genomic position ",0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,"Part 1: Detection Method, 2nd ed Evaluation of the E test, a novel method of quantifying antimicrobial activity Differentiation of the major Listeria monocytogenes serovars by multiplex PCR Introducing the Bacterial and Viral Bioinformatics Resource Center (BV-BRC): A resource combining PATRIC, IRD ",0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
42192425,PMC13393699,Phenotypic and genotypic characterization of antimicrobial resistance in coagulase-negative staphylococci from bone lesions in broiler chickens,True,0,0,,0,1,Antimicrobial resistance determinants were summarized from BV-BRC/PATRIC annotations and complemented by a targeted screen with Antimicrobial Resistance Identification By Assembly (ARIBA) via Bactopia (version 2.1.0) using the NCBI Bacterial Antimicrobial Resistance Reference Gene Database.,1,1,Structural and functional annotation was performed at the Bacterial and Viral Bioinformatics Resource Center (BV-BRC) (bv-brc.org) using the RASTtk pipeline.,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,BLASTn analysis showed that the plasmid contigs were highly similar to previously described staphylococcal plasmids from various species (including S.,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
42192310,PMC13393775,Comparative genomics of Sneathia species: insights into pathogenicity and adaptation to the human niche,True,1,0,"Comparative genomic analysis Comparative genomic analysis was performed using tools on the Bacterial and Viral Bioinformatics Resources Center (BV-BRC; https://www.bv-brc.org/): comprehensive genome analysis, bacterial genome tree, proteome comparison, and comparative systems.",0,0,,2,1,nov Bacterial vaginosis and health-associated bacteria modulate the immunometabolic landscape in 3D model of human cervix Trimmomatic: a flexible trimmer for Illumina sequence data Improved metagenomic analysis with Kraken 2 Unicycler: resolving bacterial genome assemblies from short and long sequen,0,0,,1,0,"Comparative genomic analysis Comparative genomic analysis was performed using tools on the Bacterial and Viral Bioinformatics Resources Center (BV-BRC; https://www.bv-brc.org/): comprehensive genome analysis, bacterial genome tree, proteome comparison, and comparative systems.",0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,1,"Protein family sorter analysis, which uses global protein families in the PATRIC (PAThosystems Resource Integration Center) resource (known as PGFams), was utilized for cross-genus comparisons.",0,0,,0,0,,1,0,Protein sequence-based genome comparison was performed using bidirectional BLASTP.,0,0,,0,0,,0,0,,1,0,"Comparative genomic analysis Comparative genomic analysis was performed using tools on the Bacterial and Viral Bioinformatics Resources Center (BV-BRC; https://www.bv-brc.org/): comprehensive genome analysis, bacterial genome tree, proteome comparison, and comparative systems.",0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,Comparative systems analysis was used to identify sets of proteins (or pathways) implemented in a specific biological process or structural complex.,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
42160400,PMC13229355,Characterization of a novel cell wall-associated nucleotidase of Enterococcus faecalis that degrades extracellular c-di-AMP,True,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,"Through BLASTp searches and structural predictions, we identified a surface-anchored nucleotidase in the E.",0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
42160385,PMC13197074,Environmental redox conditions and strain variation define phenazine-mediated antagonism in co-infecting bacteria,True,0,0,,0,1,"A rare opportunist, Morganella morganii, decreases severity of polymicrobial catheter-associated urinary tract infection The pathogenic potential of Proteus mirabilis is enhanced by other uropathogens during polymicrobial urinary tract infection Pseudomonas aeruginosa pyocyanin is critical for lung ",0,1,"A rare opportunist, Morganella morganii, decreases severity of polymicrobial catheter-associated urinary tract infection The pathogenic potential of Proteus mirabilis is enhanced by other uropathogens during polymicrobial urinary tract infection Pseudomonas aeruginosa pyocyanin is critical for lung ",0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,"A rare opportunist, Morganella morganii, decreases severity of polymicrobial catheter-associated urinary tract infection The pathogenic potential of Proteus mirabilis is enhanced by other uropathogens during polymicrobial urinary tract infection Pseudomonas aeruginosa pyocyanin is critical for lung ",0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
42153318,PMC13253578,"Decoding extremophiles: insights from bioinformatics, machine learning, and data-driven approaches",True,0,0,,0,0,,0,2,in an organic rich environment A strategy for optimizing quality and quantity of DNA extracted from soil Genomic methods and microbiological Technologies for Profiling Novel and Extreme Environments for the extreme microbiome project (XMP) Molecular ecology of extremely halophilic archaea and bacter,0,0,,0,0,,0,0,,1,0,Machine Learning Amino acid sequence Two-state prediction (order/disorder) and a disorder probability for each residue The number of sequences in the multiple FASTA-formatted input is limited to 50 SemiBin/SemiBin2 Metagenomic binning Deep Learning Contigs and BAM files consisting of reads mapped to,0,2,in an organic rich environment A strategy for optimizing quality and quantity of DNA extracted from soil Genomic methods and microbiological Technologies for Profiling Novel and Extreme Environments for the extreme microbiome project (XMP) Molecular ecology of extremely halophilic archaea and bacter,0,1,in an organic rich environment A strategy for optimizing quality and quantity of DNA extracted from soil Genomic methods and microbiological Technologies for Profiling Novel and Extreme Environments for the extreme microbiome project (XMP) Molecular ecology of extremely halophilic archaea and bacter,0,0,,0,1,in an organic rich environment A strategy for optimizing quality and quantity of DNA extracted from soil Genomic methods and microbiological Technologies for Profiling Novel and Extreme Environments for the extreme microbiome project (XMP) Molecular ecology of extremely halophilic archaea and bacter,0,0,,0,0,,0,0,,0,0,,0,1,in an organic rich environment A strategy for optimizing quality and quantity of DNA extracted from soil Genomic methods and microbiological Technologies for Profiling Novel and Extreme Environments for the extreme microbiome project (XMP) Molecular ecology of extremely halophilic archaea and bacter,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,Bioinformatics Enhancing efficiency of protein language models with minimal wet-lab data through few-shot learning AI4AMP: an antimicrobial peptide predictor using physicochemical property-based encoding method and deep learning Highly accurate protein structure prediction with AlphaFold DeepARG: a ,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
42143256,PMC13348184,Draft genome sequencing of Proteus mirabilis strain Indica (ST286) reveals antimicrobial resistance and virulence determinants,True,0,0,,0,1,Abbreviations AMR Antimicrobial resistance ARGs Antibiotic resistance genes WGS Whole-genome sequencing MDR Multidrug resistance MLST Multilocus sequence typing ST Sequence type SNP Single nucleotide polymorphism MGE Mobile genetic element HGT Horizontal gene transfer CDS Coding sequence rRNA Riboso,1,1,fastp: an ultra-fast all-in-one FASTQ preprocessor with useful features Unicycler: Resolving bacterial genomes from short and long-read data QUAST: quality assessment tool for genome assemblies Prokka: rapid prokaryotic genome annotation RASTtk: a modular and extensible implementation of the RAST al,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,0,Pairwise sequence similarity analyses were performed using NCBI BLASTn/BLASTp with an E-value cutoff of 1e − 5.,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,Abbreviations AMR Antimicrobial resistance ARGs Antibiotic resistance genes WGS Whole-genome sequencing MDR Multidrug resistance MLST Multilocus sequence typing ST Sequence type SNP Single nucleotide polymorphism MGE Mobile genetic element HGT Horizontal gene transfer CDS Coding sequence rRNA Riboso,0,0,,0,0,,0,0,,1,0,Protein structure prediction was carried out using AlphaFold with default model parameters for single-sequence prediction.,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
42132935,PMC13248615,Whole-genome sequencing and annotation of probiotic Bacillus amyloliquefaciens COFCAU_P1,True,0,0,,0,0,,0,1,REFERENCES Deciphering the probiotic potential of Bacillus amyloliquefaciens COFCAU_P1 isolated from the intestine of Labeo rohita through in vitro and genetic assessment Dietary administration of a host-gut derived probiotic Bacillus amyloliquefaciens COFCAU_P1 modulates immune-biochemical response,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,REFERENCES Deciphering the probiotic potential of Bacillus amyloliquefaciens COFCAU_P1 isolated from the intestine of Labeo rohita through in vitro and genetic assessment Dietary administration of a host-gut derived probiotic Bacillus amyloliquefaciens COFCAU_P1 modulates immune-biochemical response,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
42129397,PMC13365238,"Bacillus silvicola sp. nov., a new species within the Bacillus cereus group isolated from hardwood forest soil in Maryland, USA",True,0,0,,0,1,"silvicola IBL03679T genome, the assembly was analyzed using the Bacterial and Viral Bioinformatics Resource Center (BV-BRC; https://www.bv-brc.org/ RASTtk function.",1,2,"silvicola IBL03679T genome, the assembly was analyzed using the Bacterial and Viral Bioinformatics Resource Center (BV-BRC; https://www.bv-brc.org/ RASTtk function.",0,0,,0,0,,0,0,,0,0,,0,0,,0,2,https://github.com/tseemann/barrnap OrthoDB and BUSCO update: annotation of orthologs with wider sampling of genomes Universal amplification and analysis of pathogen 16S rDNA for classification and identification of mycoplasmalike organisms Mash: Fast genome and metagenome distance estimation using ,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,Phylogeny and genomic analyses An initial taxonomic comparison for strain IBL03679T was performed with the sequenced 16S rRNA gene amplicon in BLASTn (NCBI).,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
